Name,Date,URL
Origin Of Consciousness In The Breakdown Of The Bicameral Mind,"June 1, 2020",https://slatestarcodex.com/2020/06/01/book-review-origin-of-consciousness-in-the-breakdown-of-the-bicameral-mind/
The Precipice,"April 1, 2020",https://slatestarcodex.com/2020/04/01/book-review-the-precipice/
Hoover,"March 17, 2020",https://slatestarcodex.com/2020/03/17/book-review-hoover/
The Seven Principles For Making Marriage Work,"February 27, 2020",https://slatestarcodex.com/2020/02/27/book-review-the-seven-principles-for-making-marriage-work/
Just Giving,"February 24, 2020",https://slatestarcodex.com/2020/02/24/book-review-just-giving/
Human Compatible,"January 30, 2020",https://slatestarcodex.com/2020/01/30/book-review-human-compatible/
All Therapy Books,"November 20, 2019",https://slatestarcodex.com/2019/11/20/book-review-all-therapy-books/
The Body Keeps The Score,"November 12, 2019",https://slatestarcodex.com/2019/11/12/book-review-the-body-keeps-the-score/
Against The Grain,"October 14, 2019",https://slatestarcodex.com/2019/10/14/book-review-against-the-grain/
Ages Of Discord,"September 2, 2019",https://slatestarcodex.com/2019/09/02/book-review-ages-of-discord/
Reframing Superintelligence,"August 27, 2019",https://slatestarcodex.com/2019/08/27/book-review-reframing-superintelligence/
Secular Cycles,"August 12, 2019",https://slatestarcodex.com/2019/08/12/book-review-secular-cycles/
The Electric Kool-Aid Acid Test,"July 23, 2019",https://slatestarcodex.com/2019/07/23/book-review-the-electric-kool-aid-acid-test/
Why Are The Prices So D*mn High?,"June 10, 2019",https://slatestarcodex.com/2019/06/10/book-review-the-prices-are-too-dmn-high/
The Secret Of Our Success,"June 4, 2019",https://slatestarcodex.com/2019/06/04/book-review-the-secret-of-our-success/
Short Book Reviews April 2019,"April 9, 2019",https://slatestarcodex.com/2019/04/09/short-book-reviews-april-2019/
Inventing The Future,"March 18, 2019",https://slatestarcodex.com/2019/03/18/book-review-inventing-the-future/
Zero To One,"January 31, 2019",https://slatestarcodex.com/2019/01/31/book-review-zero-to-one/
The Structure Of Scientific Revolutions,"January 8, 2019",https://slatestarcodex.com/2019/01/08/book-review-the-structure-of-scientific-revolutions/
Evolutionary Psychopathology,"December 3, 2018",https://slatestarcodex.com/2018/12/03/book-review-evolutionary-psychopathology/
The Mind Illuminated,"November 28, 2018",https://slatestarcodex.com/2018/11/28/book-review-the-mind-illuminated/
The Black Swan,"September 19, 2018",https://slatestarcodex.com/2018/09/19/book-review-the-black-swan/
Capital In The Twenty-First Century,"June 24, 2018",https://slatestarcodex.com/2018/06/24/book-review-capital-in-the-twenty-first-century/
History Of The Fabian Society,"April 30, 2018",https://slatestarcodex.com/2018/04/30/book-review-history-of-the-fabian-society/
Twelve Rules For Life,"March 26, 2018",https://slatestarcodex.com/2018/03/26/book-review-twelve-rules-for-life/
Madness And Civilization,"January 4, 2018",https://slatestarcodex.com/2018/01/04/book-review-madness-and-civilization/
Inadequate Equilibria,"November 30, 2017",https://slatestarcodex.com/2017/11/30/book-review-inadequate-equilibria/
Legal Systems Very Different From Ours,"November 13, 2017",https://slatestarcodex.com/2017/11/13/book-review-legal-systems-very-different-from-ours/
Mastering The Core Teachings Of The Buddha,"September 18, 2017",https://slatestarcodex.com/2017/09/18/book-review-mastering-the-core-teachings-of-the-buddha/
Surfing Uncertainty,"September 5, 2017",https://slatestarcodex.com/2017/09/05/book-review-surfing-uncertainty/
Raise A Genius!,"July 31, 2017",https://slatestarcodex.com/2017/07/31/book-review-raise-a-genius/
The Hungry Brain,"April 25, 2017",https://slatestarcodex.com/2017/04/25/book-review-the-hungry-brain/
Seeing Like A State,"March 16, 2017",https://slatestarcodex.com/2017/03/16/book-review-seeing-like-a-state/
Behavior – The Control Of Perception,"March 6, 2017",https://slatestarcodex.com/2017/03/06/book-review-behavior-the-control-of-perception/
Eichmann In Jerusalem,"January 30, 2017",https://slatestarcodex.com/2017/01/30/book-review-eichmann-in-jerusalem/
Mount Misery,"December 29, 2016",https://slatestarcodex.com/2016/12/29/book-review-mount-misery/
House of God,"November 10, 2016",https://slatestarcodex.com/2016/11/10/book-review-house-of-god/
PiHKaL,"August 11, 2016",https://slatestarcodex.com/2016/08/11/book-review-pihkal/
